lemma,genus,pl_form,pl_class,split,m95_rhyme
10-uhr-zug,m,10-uhr-züge,umlaut_e,train,
100-euro-schein,m,100-euro-scheine,e,val,
100-franken-note,f,100-franken-noten,n,train,
100-franken-schein,m,100-franken-scheine,e,train,
100-mark-schein,m,100-mark-scheine,e,train,
1000-franken-note,f,1000-franken-noten,n,train,
1000-franken-schein,m,1000-franken-scheine,e,train,
1000-mark-schein,m,1000-mark-scheine,e,train,
102-jährige,,102-jährige,zero,test,
102-jährige,,102-jährigen,n,val,
102-jährige,,102-jährige,zero,train,
102-jähriger,,102-jährige,other,train,
102-jähriger,,102-jährigen,other,train,
102-jähriger,,102-jährige,other,train,
2-cent-münze,f,2-cent-münzen,n,train,
2-cent-stück,n,2-cent-stücke,e,train,
2-euro-münze,f,2-euro-münzen,n,train,
2-euro-stück,n,2-euro-stücke,e,test,
2-mark-schein,m,2-mark-scheine,e,train,
20-cent-münze,f,20-cent-münzen,n,train,
20-cent-stück,n,20-cent-stücke,e,train,
20-euro-schein,m,20-euro-scheine,e,train,
20-franken-note,f,20-franken-noten,n,train,
20-franken-schein,m,20-franken-scheine,e,train,
20-mark-schein,m,20-mark-scheine,e,train,
200-euro-schein,m,200-euro-scheine,e,val,
200-franken-note,f,200-franken-noten,n,test,
200-franken-schein,m,200-franken-scheine,e,train,
200-mark-schein,m,200-mark-scheine,e,train,
24-stunden-rennen,n,24-stunden-rennen,zero,train,
3-d-drucker,m,3-d-drucker,zero,train,
3-uhr-vorstellung,f,3-uhr-vorstellungen,en,train,
3-uhr-zug,m,3-uhr-züge,umlaut_e,train,
40-stunden-woche,f,40-stunden-wochen,n,val,
400-euro-job,m,400-euro-jobs,s,train,
400-euro-jobber,m,400-euro-jobber,zero,test,
450-euro-job,m,450-euro-jobs,s,train,
46-jähriger,,46-jährige,other,train,
46-jähriger,,46-jährigen,other,train,
46-jähriger,,46-jährige,other,train,
5-cent-münze,f,5-cent-münzen,n,train,
5-cent-stück,n,5-cent-stücke,e,val,
5-euro-schein,m,5-euro-scheine,e,train,
5-mark-schein,m,5-mark-scheine,e,train,
5-uhr-vorstellung,f,5-uhr-vorstellungen,en,test,
5-uhr-zug,m,5-uhr-züge,umlaut_e,train,
50-cent-münze,f,50-cent-münzen,n,train,
50-cent-stück,n,50-cent-stücke,e,train,
50-euro-schein,m,50-euro-scheine,e,train,
50-franken-note,f,50-franken-noten,n,val,
50-franken-schein,m,50-franken-scheine,e,train,
50-mark-schein,m,50-mark-scheine,e,train,
500-euro-schein,m,500-euro-scheine,e,train,
500-mark-schein,m,500-mark-scheine,e,test,
59-jähriger,,59-jährige,other,train,
59-jähriger,,59-jährigen,other,train,
59-jähriger,,59-jährige,other,train,
6-uhr-vorstellung,f,6-uhr-vorstellungen,en,val,
6-uhr-zug,m,6-uhr-züge,umlaut_e,train,
7-uhr-vorstellung,f,7-uhr-vorstellungen,en,train,
7-uhr-zug,m,7-uhr-züge,umlaut_e,train,
8-stunden-tag,m,8-stunden-tage,e,train,ag
8-tonner,m,8-tonner,zero,test,
8-uhr-vorstellung,f,8-uhr-vorstellungen,en,train,
8-uhr-zug,m,8-uhr-züge,umlaut_e,train,
90-minüter,m,90-minüter,zero,val,
a,n,as,s,train,
a-achse,f,a-achsen,n,train,
a-bombe,f,a-bomben,n,train,
a-dur-tonleiter,f,a-dur-tonleitern,n,train,
a-jugend,f,a-jugenden,en,train,
a-jugendliche,,a-jugendliche,zero,test,
a-jugendliche,,a-jugendlichen,n,train,
a-jugendliche,,a-jugendliche,zero,val,
a-saite,f,a-saiten,n,train,
a-säule,f,a-säulen,n,train,
a-cappella-chor,m,a-cappella-chöre,umlaut_e,train,
ab,m,ab,zero,train,
ab,,abs,s,train,
abc,n,abc,zero,train,
abc-buch,n,abc-bücher,umlaut_er,test,
abc-schütze,m,abc-schützen,n,val,
abc-staaten,,abc-staaten,zero,train,
abc-tafel,f,abc-tafeln,n,train,
abc-trinker,m,abc-trinker,zero,train,
abc-waffen,,abc-waffen,zero,train,
abm-kraft,f,abm-kräfte,umlaut_e,train,
ace-hemmer,,ace-hemmer,zero,train,
adhs-kind,n,adhs-kinder,er,train,ind
adv-vertrag,m,adv-verträge,umlaut_e,test,ag
ag,m,ags,s,train,ag
ahs,f,ahs,zero,train,
aids-toter,,aids-tote,other,train,
aids-toter,,aids-toten,other,train,
aids-toter,,aids-tote,other,train,
akw,,akw,zero,train,
aok,,aok,zero,train,
aok,,aoks,s,val,
asl-zeichen,n,asl-zeichen,zero,test,
asta,,asta,zero,train,
asta,,astas,s,train,
asta,,asten,other,train,
avb,,avb,zero,train,
aa-lava,f,aa-laven,other,train,
aab,,<small>(die)</small> aabs,other,train,
aachener,m,aachener,zero,val,
aachenerin,f,aachenerinnen,nen,train,
aad,f,aaden,en,test,
aak,n,aake,e,train,
aake,f,aaken,n,train,
aakerbeere,f,aakerbeeren,n,train,
aalbaum,m,aalbäume,umlaut_e,train,
aalbeere,f,aalbeeren,n,train,
aalbeerstrauch,m,aalbeersträucher,umlaut_er,val,
aalbestand,m,aalbestände,umlaut_e,train,and
aalbricke,f,aalbricken,n,train,
aalbutt,m,aalbutte,e,test,
aaldorsch,m,aaldorsche,e,train,
aaleidechse,f,aaleidechsen,n,train,
aaleisen,n,aaleisen,zero,train,
aalener,m,aalener,zero,train,
aalfang,m,aalfänge,umlaut_e,val,
aalfett,n,aalfette,e,train,
aalfisch,m,aalfische,e,train,isch
aalfischer,m,aalfischer,zero,train,
aalfischerei,f,aalfischereien,en,test,
aalfrau,f,aalfrauen,en,train,
aalgabel,f,aalgabeln,n,train,
aalhamen,m,aalhamen,zero,train,
aalhaut,f,aalhäute,umlaut_e,val,
aalkasten,,aalkästen,umlaut_zero,train,
aalkasten,,aalkasten,zero,train,
aalkorb,m,aalkörbe,umlaut_e,train,
aalkrähe,f,aalkrähen,n,train,
aalleiter,f,aalleitern,n,test,
aalmolch,m,aalmolche,e,train,
aalmutter,f,aalmuttern,n,train,
aalmöwe,f,aalmöwen,n,val,
aalnetz,n,aalnetze,e,train,
aalpuppe,f,aalpuppen,n,train,
aalquappe,f,aalquappen,n,train,
aalraupe,f,aalraupen,n,train,
aalreuse,f,aalreusen,n,train,
aalrute,f,aalruten,n,test,
aalrutte,f,aalrutten,n,train,
aalräucherei,f,aalräuchereien,en,val,
aalschlange,f,aalschlangen,n,train,
aalschnur,f,aalschnüre,umlaut_e,train,ur
aalspeer,m,aalspeere,e,train,
aalstechen,n,aalstechen,zero,train,
aalstreif,m,aalstreife,e,train,
aalstreifen,m,aalstreifen,zero,train,
aalstrich,m,aalstriche,e,test,
aalsuppe,f,aalsuppen,n,val,
aaltierchen,n,aaltierchen,zero,train,
aaltreppe,f,aaltreppen,n,train,
aalwanderung,f,aalwanderungen,en,train,
aalwehr,n,aalwehre,e,train,
aalwels,m,aalwelse,e,train,
aap,m,aapen,en,train,
aarestadt,f,aarestädte,umlaut_e,train,
aargauer,m,aargauer,zero,test,
aargauerin,f,aargauerinnen,nen,train,
aarweihe,,aarweihen,n,train,
aasblatter,f,aasblattern,n,train,
aasblume,f,aasblumen,n,train,
aaser,m,aaser,zero,train,
aasfliege,f,aasfliegen,n,train,
aasfresser,m,aasfresser,zero,train,
aasgeier,m,aasgeier,zero,val,
aasgeld,n,aasgelder,er,test,
aasgeruch,m,aasgerüche,umlaut_e,train,
aasinsekt,n,aasinsekten,en,train,
aasjagd,f,aasjagden,en,train,
aasjäger,m,aasjäger,zero,train,
aaskrähe,f,aaskrähen,n,train,
aaskäfer,m,aaskäfer,zero,train,
aaspocke,f,aaspocken,n,val,
aasseite,f,aasseiten,n,train,
aast,n,äster,other,test,
aasvogel,m,aasvögel,umlaut_zero,train,
abade,m,abades,s,train,
abadie-zeichen,n,abadie-zeichen,zero,train,
abaisse,f,abaissen,n,train,
abalienation,f,abalienationen,en,train,
abandon,m,abandons,s,val,
abandonnement,n,abandonnements,s,train,
abarbeitung,f,abarbeitungen,en,train,
abarbeitungsgeschwindigkeit,f,abarbeitungsgeschwindigkeiten,en,test,
abartigkeit,f,abartigkeiten,en,train,
abartung,f,abartungen,en,train,
abasie,f,abasien,n,train,
abatjour,m,abatjours,s,train,ur
abaton,n,abata,other,val,
abbaggerung,f,abbaggerungen,en,train,
abbaside,m,abbasiden,n,train,
abbate,,abbaten,n,train,
abbate,,abbati,other,test,
abbau,m,abbaue,e,train,
abbauantrag,m,abbauanträge,umlaut_e,train,ag
abbauerscheinung,f,abbauerscheinungen,en,train,
abbaufeld,n,abbaufelder,er,val,
abbaugerechtigkeit,f,abbaugerechtigkeiten,en,train,
abbauintoxikation,f,abbauintoxikationen,en,train,
abbauprodukt,n,abbauprodukte,e,train,
abbauprozess,m,abbauprozesse,e,train,
abbaurecht,n,abbaurechte,e,test,
abbaustelle,f,abbaustellen,n,train,
abbedingung,f,abbedingungen,en,train,
abbeizmittel,n,abbeizmittel,zero,val,
abbelkrotze,,abbelkrotze,zero,train,
abberufung,f,abberufungen,en,train,
abberufungsantrag,m,abberufungsanträge,umlaut_e,train,ag
abbestellung,f,abbestellungen,en,train,
abbezahlung,f,abbezahlungen,en,train,
abbiegelicht,n,abbiegelichter,er,test,
abbiegespur,f,abbiegespuren,en,train,ur
abbiegung,f,abbiegungen,en,val,
abbild,n,abbilder,er,train,
abbildung,f,abbildungen,en,train,
abbildungsfehler,m,abbildungsfehler,zero,train,
abbildungsmaßstab,m,abbildungsmaßstäbe,umlaut_e,train,
abbindung,f,abbindungen,en,train,
abbiss,m,abbisse,e,train,
abbitte,f,abbitten,n,test,
abblasedruck,m,abblasedrücke,umlaut_e,val,
abblaseventil,n,abblaseventile,e,train,
abblasung,f,abblasungen,en,train,
abblasventil,n,abblasventile,e,train,
abblendlicht,n,abblendlichter,er,train,
abblendschalter,m,abblendschalter,zero,train,
abbozzo,m,abbozzi,other,train,
abbrand,m,abbrände,umlaut_e,train,and
abbrandler,m,abbrandler,zero,test,
abbrecher,m,abbrecher,zero,train,
abbrecherin,f,abbrecherinnen,nen,train,
abbreviation,f,abbreviationen,en,train,
abbreviator,m,abbreviatoren,en,train,
abbreviatur,f,abbreviaturen,en,train,ur
abbruch,m,abbrüche,umlaut_e,train,
abbrucharbeit,f,abbrucharbeiten,en,train,
abbruchbedingung,f,abbruchbedingungen,en,val,
abbruchbescheid,m,abbruchbescheide,e,test,
abbruchbirne,f,abbruchbirnen,n,train,
abbruchblutung,f,abbruchblutungen,en,train,
abbruchfirma,f,abbruchfirmen,other,train,
abbruchgenehmigung,f,abbruchgenehmigungen,en,train,
abbruchhammer,m,abbruchhämmer,umlaut_zero,train,
abbruchhaus,n,abbruchhäuser,umlaut_er,train,
abbruchholz,n,abbruchhölzer,umlaut_er,val,
abbruchkante,f,abbruchkanten,n,train,
abbruchmaterial,n,abbruchmaterialien,other,test,al
abbruchobjekt,n,abbruchobjekte,e,train,
abbruchsieg,m,abbruchsiege,e,train,
abbruchstein,m,abbruchsteine,e,train,
abbruchstelle,f,abbruchstellen,n,train,
abbuchung,f,abbuchungen,en,train,
abbuchungsauftrag,m,abbuchungsaufträge,umlaut_e,val,ag
abc-schützin,f,abc-schützinnen,nen,train,
abcdarier,m,abcdarier,zero,train,
abcdarium,n,abcdarien,other,test,
abcdarius,m,abcdarii,other,train,
abchase,m,abchasen,n,train,
abchasin,f,abchasinnen,nen,train,
abdach,n,abdächer,umlaut_er,train,ach
abdampf,m,abdämpfe,umlaut_e,val,
abdankung,f,abdankungen,en,train,
abdeck-aufdecktest,m,abdeck-aufdecktests,s,train,
abdeckband,n,abdeckbänder,umlaut_er,train,and
abdeckblech,n,abdeckbleche,e,test,
abdeckcreme,,abdeckcremes,s,train,
abdeckcreme,,abdeckcremen,n,train,
abdecker,m,abdecker,zero,train,
abdeckerei,f,abdeckereien,en,val,
abdeckerin,f,abdeckerinnen,nen,train,
abdeckfarbe,f,abdeckfarben,n,train,
abdeckmaterial,n,abdeckmaterialien,other,train,al
abdeckplane,f,abdeckplanen,n,train,
abdeckplatte,f,abdeckplatten,n,test,
abdecktest,m,abdecktests,s,train,
abdeckung,f,abdeckungen,en,train,
abderit,m,abderiten,en,val,
abdestillation,f,abdestillationen,en,train,
abdichtung,f,abdichtungen,en,train,
abdikation,f,abdikationen,en,train,
abdisposition,f,abdispositionen,en,train,
abditorium,n,abditorien,other,train,
abdomen,,abdomen,zero,test,
abdomen,,abdomina,other,train,
abdominalgravidität,f,abdominalgraviditäten,en,val,
abdominalhernie,f,abdominalhernien,n,train,
abdominoskopie,f,abdominoskopien,n,train,
abdrift,f,abdriften,en,train,
abdruck,,abdrücke,umlaut_e,train,
abdruck,,abdrucke,e,train,
abduktion,f,abduktionen,en,train,
abduktor,m,abduktoren,en,test,
abduzenslähmung,f,abduzenslähmungen,en,val,
abecebuch,n,abecebücher,umlaut_er,train,
abecedarier,m,abecedarier,zero,train,
abecedarium,n,abecedarien,other,train,
abecedarius,m,abecedarii,other,train,
abee,,abees,s,train,
abelespiele,,abelespiele,zero,train,
abelie,f,abelien,n,train,
abelmoschus,m,abelmoschusse,se,test,
abend-make-up,n,abend-make-ups,s,train,
abendakademie,f,abendakademien,n,train,
abendandacht,f,abendandachten,en,train,
abendanfrage,f,abendanfragen,n,train,
abendanzug,m,abendanzüge,umlaut_e,train,
abendausgabe,f,abendausgaben,n,train,
abendblatt,n,abendblätter,umlaut_er,train,
abendbrot,n,abendbrote,e,val,ot
abendbrottisch,m,abendbrottische,e,test,isch
abendbrotzeit,f,abendbrotzeiten,en,train,
abendbummel,m,abendbummel,zero,train,
abenddämmerung,f,abenddämmerungen,en,train,
abendempfang,m,abendempfänge,umlaut_e,train,
abendessen,n,abendessen,zero,train,
abendgarderobe,f,abendgarderoben,n,train,
abendgebet,n,abendgebete,e,val,
abendgesellschaft,f,abendgesellschaften,en,train,
abendgottesdienst,m,abendgottesdienste,e,test,
abendgymnasium,n,abendgymnasien,other,train,
abendhimmel,m,abendhimmel,zero,train,
abendkasse,f,abendkassen,n,train,
abendkleid,n,abendkleider,er,train,
abendkurs,m,abendkurse,e,train,
abendlied,n,abendlieder,er,val,
abendländer,m,abendländer,zero,train,
abendmahl,n,abendmahle,e,train,
abendmahlsfeier,f,abendmahlsfeiern,n,test,
abendmahlsgemeinschaft,f,abendmahlsgemeinschaften,en,train,
abendmahlsspiel,n,abendmahlsspiele,e,train,
abendmahlswein,m,abendmahlsweine,e,train,
abendmahlzeit,f,abendmahlzeiten,en,train,
abendmesse,f,abendmessen,n,val,
abendmusik,f,abendmusiken,en,train,
abendnachrichten,,abendnachrichten,zero,train,
abendnebel,m,abendnebel,zero,train,
abendprogramm,n,abendprogramme,e,test,
abendpunkt,m,abendpunkte,e,train,
abendschule,f,abendschulen,n,train,
abendschüler,m,abendschüler,zero,train,
abendschülerin,f,abendschülerinnen,nen,val,
abendshow,f,abendshows,s,train,
abendstunde,f,abendstunden,n,train,
abendstück,n,abendstücke,e,train,
abendtafel,f,abendtafeln,n,train,
abendunterhaltung,f,abendunterhaltungen,en,test,
abendunterricht,m,abendunterrichte,e,train,
abendveranstaltung,f,abendveranstaltungen,en,train,
abendvorstellung,f,abendvorstellungen,en,val,
abendweite,f,abendweiten,n,train,
abendzeit,f,abendzeiten,en,train,
abendzeitung,f,abendzeitungen,en,train,
abendzug,m,abendzüge,umlaut_e,train,
abenteuer,n,abenteuer,zero,train,
abenteuerbuch,n,abenteuerbücher,umlaut_er,test,
abenteuerfilm,m,abenteuerfilme,e,train,
abenteuergeschichte,f,abenteuergeschichten,n,val,
abenteuerin,f,abenteuerinnen,nen,train,
abenteuerkomödie,f,abenteuerkomödien,n,train,
abenteuerreise,f,abenteuerreisen,n,train,
abenteuerroman,m,abenteuerromane,e,train,
abenteuerspiel,n,abenteuerspiele,e,train,
abenteuerspielplatz,m,abenteuerspielplätze,umlaut_e,train,
abenteuerurlaub,m,abenteuerurlaube,e,test,
abenteurer,m,abenteurer,zero,val,
abenteurerin,f,abenteurerinnen,nen,train,
aber,,aber,zero,train,
aber,,abers,s,train,
aberchen,n,aberchen,zero,train,
aberdeenrind,n,aberdeenrinder,er,train,ind
aberdepot,n,aberdepots,s,train,ot
aberkennung,f,aberkennungen,en,train,
abermillionen,,abermillionen,zero,test,
aberratio,f,aberrationes,other,train,
aberration,f,aberrationen,en,train,
aberrationskonstante,f,aberrationskonstanten,n,train,
aberrationszeit,f,aberrationszeiten,en,train,
aberraute,f,aberrauten,n,train,
aberrometer,n,aberrometer,zero,train,
abessinier,m,abessinier,zero,train,
abessinierbrunnen,m,abessinierbrunnen,zero,val,
abessinierin,f,abessinierinnen,nen,test,
abessinierkatze,f,abessinierkatzen,n,train,
abessiv,m,abessive,e,train,
abfahrer,m,abfahrer,zero,train,
abfahrerin,f,abfahrerinnen,nen,train,
abfahrt,f,abfahrten,en,train,
abfahrtgleis,n,abfahrtgleise,e,train,
abfahrtsdatum,n,abfahrtsdaten,other,val,
abfahrtsgleis,n,abfahrtsgleise,e,train,
abfahrtshang,m,abfahrtshänge,umlaut_e,test,
abfahrtslauf,m,abfahrtsläufe,umlaut_e,train,
abfahrtsläufer,m,abfahrtsläufer,zero,train,
abfahrtsläuferin,f,abfahrtsläuferinnen,nen,train,
abfahrtspiste,f,abfahrtspisten,n,train,
abfahrtsplan,m,abfahrtspläne,umlaut_e,train,
abfahrtssieg,m,abfahrtssiege,e,val,
abfahrtssieger,m,abfahrtssieger,zero,train,
abfahrtssiegerin,f,abfahrtssiegerinnen,nen,train,
abfahrtsski,,abfahrtsski,zero,test,
abfahrtsski,,abfahrtsskier,er,train,
abfahrtstafel,f,abfahrtstafeln,n,train,
abfahrtsweltmeister,m,abfahrtsweltmeister,zero,train,
abfahrtsweltmeisterin,f,abfahrtsweltmeisterinnen,nen,train,
abfahrtszeit,f,abfahrtszeiten,en,val,
abfall,m,abfälle,umlaut_e,train,
abfallart,f,abfallarten,en,train,
abfallbeauftragter,,abfallbeauftragte,other,train,
abfallbeauftragter,,abfallbeauftragten,other,test,
abfallbeauftragter,,abfallbeauftragte,other,train,
abfallbehälter,m,abfallbehälter,zero,train,
abfalleimer,m,abfalleimer,zero,train,
abfallexport,m,abfallexporte,e,val,
abfallgeruch,m,abfallgerüche,umlaut_e,train,
abfallkatalog,m,abfallkataloge,e,train,
abfallmenge,f,abfallmengen,n,train,
abfallprodukt,n,abfallprodukte,e,train,
abfallraum,m,abfallräume,umlaut_e,test,
abfallsortieranlage,f,abfallsortieranlagen,n,train,
abfallsortierung,f,abfallsortierungen,en,train,
abfalltransport,m,abfalltransporte,e,val,
abfallverbrennung,f,abfallverbrennungen,en,train,
abfallverbringung,f,abfallverbringungen,en,train,
abfallverzeichnis,n,abfallverzeichnisse,se,train,
abfallwirtschaft,f,abfallwirtschaften,en,train,
abfallwirtschaftsbetrieb,m,abfallwirtschaftsbetriebe,e,train,
abfangbahn,f,abfangbahnen,en,test,
abfangjäger,m,abfangjäger,zero,train,
abfangsatellit,m,abfangsatelliten,en,val,
abfasung,f,abfasungen,en,train,
abfederung,f,abfederungen,en,train,
abfertigung,f,abfertigungen,en,train,
abfertigungsbaracke,f,abfertigungsbaracken,n,train,
abfertigungsbeamter,,abfertigungsbeamte,other,train,
abfertigungsbeamter,,abfertigungsbeamten,other,train,
abfertigungsbeamter,,abfertigungsbeamte,other,test,
abfett,n,abfette,e,val,
abfindung,f,abfindungen,en,train,
abflug,m,abflüge,umlaut_e,train,
abflughafen,m,abflughäfen,umlaut_zero,train,
abflugtag,m,abflugtage,e,train,ag
abflugzeit,f,abflugzeiten,en,train,
abfluss,m,abflüsse,umlaut_e,train,
abflussrinne,f,abflussrinnen,n,train,
abflussrohr,n,abflussrohre,e,test,
abfolge,f,abfolgen,n,train,
abfrage,f,abfragen,n,train,
abfragesprache,f,abfragesprachen,n,train,
abfuhr,f,abfuhren,en,train,
abführmittel,n,abführmittel,zero,train,
abführungszeichen,n,abführungszeichen,zero,train,
abfüllerangabe,f,abfüllerangaben,n,train,
abgabe,f,abgaben,n,val,
abgabefrist,f,abgabefristen,en,test,
abgabestelle,f,abgabestellen,n,train,
abgabetermin,m,abgabetermine,e,train,
abgabezug,m,abgabezüge,umlaut_e,train,
abgang,m,abgänge,umlaut_e,train,
abgangszeugnis,n,abgangszeugnisse,se,train,
abgas,n,abgase,e,train,
abgasanalysator,m,abgasanalysatoren,en,val,
abgasemission,f,abgasemissionen,en,train,
abgasimmission,f,abgasimmissionen,en,test,
abgasmanipulation,f,abgasmanipulationen,en,train,
abgasnorm,f,abgasnormen,en,train,
abgasreinigung,f,abgasreinigungen,en,train,
abgassystem,n,abgassysteme,e,train,
abgastest,m,abgastests,s,train,
abgeber,m,abgeber,zero,val,
abgelebtheit,f,–,other,train,
abgeltungssteuer,f,abgeltungssteuern,n,train,
abgeltungsteuer,f,abgeltungsteuern,n,test,
abgeordnete,,abgeordnete,zero,train,
abgeordnete,,abgeordneten,n,train,
abgeordnete,,abgeordnete,zero,train,
abgeordnetenbestechung,f,abgeordnetenbestechungen,en,train,
abgeordnetenhaus,n,abgeordnetenhäuser,umlaut_er,val,
abgeordneter,,abgeordnete,other,train,
abgeordneter,,abgeordneten,other,train,
abgeordneter,,abgeordnete,other,train,
abgesang,m,abgesänge,umlaut_e,test,
abgeschiedener,,abgeschiedene,other,train,
abgeschiedener,,abgeschiedenen,other,train,
abgeschiedener,,abgeschiedene,other,train,
abglitt,m,abglitte,e,val,
abgott,m,abgötter,umlaut_er,train,
abgottschlange,f,abgottschlangen,n,train,
abgrabung,f,abgrabungen,en,train,
abgrenzung,f,abgrenzungen,en,train,
abgrenzungsversuch,m,abgrenzungsversuche,e,test,
abgrund,m,abgründe,umlaut_e,train,und
abgrusung,f,abgrusungen,en,train,
abguss,m,abgüsse,umlaut_e,val,
abgängigkeitsanzeige,f,abgängigkeitsanzeigen,n,train,
abgängsel,n,abgängsel,zero,train,
abgötterei,f,abgöttereien,en,train,
abhandlung,f,abhandlungen,en,train,
abhang,m,abhänge,umlaut_e,train,
abhebung,f,abhebungen,en,test,
abhilfe,f,abhilfen,n,train,
abholfach,n,abholfächer,umlaut_er,val,ach
abholzung,f,abholzungen,en,train,
abhängigkeit,f,abhängigkeiten,en,train,
abhängigkeitsgrammatik,f,abhängigkeitsgrammatiken,en,train,
abhärtung,f,abhärtungen,en,train,
abhöraffäre,f,abhöraffären,n,train,
abhöraktion,f,abhöraktionen,en,train,
abhörmaßnahme,f,abhörmaßnahmen,n,test,
abhörskandal,m,abhörskandale,e,val,al
abiball,m,abibälle,umlaut_e,train,
abiotrophie,f,abiotrophien,n,train,
abireise,f,abireisen,n,train,
abisolierzange,f,abisolierzangen,n,train,
abitur,n,abiture,e,train,ur
abiturient,m,abiturienten,en,train,
abiturientia,f,abiturientien,other,train,
abiturientin,f,abiturientinnen,nen,test,
abiturium,n,abiturien,other,train,
abiturzeugnis,n,abiturzeugnisse,se,train,
abjudikation,f,abjudikationen,en,train,
abjuration,f,abjurationen,en,train,
abkehrschein,m,abkehrscheine,e,train,
abklatsch,m,abklatsche,e,train,
abklingbecken,n,abklingbecken,zero,train,
abkomme,m,abkommen,n,val,
abkommen,n,abkommen,zero,test,
abkömmling,m,abkömmlinge,e,train,
abkühlung,f,abkühlungen,en,train,
abkühlungsprozess,m,abkühlungsprozesse,e,train,
abkündigung,f,abkündigungen,en,train,
abkürzung,f,abkürzungen,en,train,
abkürzungsfimmel,m,abkürzungsfimmel,zero,train,
abkürzungssprache,f,abkürzungssprachen,n,val,
abkürzungsverzeichnis,n,abkürzungsverzeichnisse,se,train,
abkürzungswörterbuch,n,abkürzungswörterbücher,umlaut_er,test,
ablage,f,ablagen,n,train,
ablagerung,f,ablagerungen,en,train,
ablaktation,f,ablaktationen,en,train,
ablass,m,ablässe,umlaut_e,train,
ablassbrief,m,ablassbriefe,e,train,
ablation,f,ablationen,en,val,
ablativ,m,ablative,e,train,
ablauf,m,abläufe,umlaut_e,train,
ablaufberg,m,ablaufberge,e,test,
ablauforganisation,f,ablauforganisationen,en,train,
ablaufzeit,f,ablaufzeiten,en,train,
ablaut,m,ablaute,e,train,
ablautdoppelung,f,ablautdoppelungen,en,train,
ablaß,,die ablaß<br>die ablaßens,other,val,
ablegat,m,ablegaten,en,train,
ableger,m,ableger,zero,train,
ablehnung,f,ablehnungen,en,train,
ablehnungsgesuch,n,ablehnungsgesuche,e,test,
ablehnungsquote,f,ablehnungsquoten,n,train,
ableismus,m,ableismen,other,train,
ableitung,f,ableitungen,en,train,
ableitungsmorphem,n,ableitungsmorpheme,e,val,
ableitungssuffix,n,ableitungssuffixe,e,train,
ablenkprisma,n,ablenkprismen,other,train,
ablenkung,f,ablenkungen,en,train,
ablenkungsmanöver,n,ablenkungsmanöver,zero,train,
ablenkungsversuch,m,ablenkungsversuche,e,test,
ablesung,f,ablesungen,en,train,
ablichtung,f,ablichtungen,en,train,
ablieferung,f,ablieferungen,en,val,
ablieferungstermin,m,ablieferungstermine,e,train,
ablokation,f,ablokationen,en,train,
abluft,f,ablüfte,umlaut_e,train,
abluftanlage,f,abluftanlagen,n,train,
abluftaufbereitung,f,abluftaufbereitungen,en,train,
abluftgerät,n,abluftgeräte,e,test,
abluftgitter,n,abluftgitter,zero,train,
ablufthaube,f,ablufthauben,n,val,
abluftkamin,m,abluftkamine,e,train,
abluftkanal,m,abluftkanäle,umlaut_e,train,al
abluftreinigung,f,abluftreinigungen,en,train,
ablution,f,ablutionen,en,train,
ablöse,f,ablösen,n,train,
ablösung,f,ablösungen,en,train,
